Approach,,,,Retraction,
Distance (nm),Force (nN),,,Distance (nm),Force (nN)
-4.94E-01,1.39E+01,,,1.49E+03,0.01
-6.72E-01,1.43E+01,,,1.49E+03,0.02
-3.13E-01,1.47E+01,,,1.49E+03,0.01
-9.77E-01,1.51E+01,,,1.50E+03,0.00
-1.48E+00,1.55E+01,,,1.50E+03,0.02
-1.85E+00,1.59E+01,,,1.51E+03,0.00
-2.00E+00,1.62E+01,,,1.51E+03,0.01
-1.91E+00,1.66E+01,,,1.51E+03,0.03
-2.12E+00,1.71E+01,,,1.52E+03,0.01
-2.75E+00,1.74E+01,,,1.52E+03,0.02
-3.32E+00,1.79E+01,,,1.53E+03,0.01
-3.06E+00,1.82E+01,,,1.53E+03,0.02
-3.20E+00,1.86E+01,,,1.53E+03,0.02
-3.26E+00,1.90E+01,,,1.54E+03,0.02
-3.74E+00,1.94E+01,,,1.54E+03,0.00
-3.43E+00,1.99E+01,,,1.54E+03,0.00
-3.93E+00,2.03E+01,,,1.55E+03,0.02
-3.45E+00,2.07E+01,,,1.55E+03,0.01
-2.92E+00,2.11E+01,,,1.56E+03,0.00
-2.97E+00,2.15E+01,,,1.56E+03,-0.01
-3.01E+00,2.20E+01,,,1.56E+03,-0.01
-2.97E+00,2.24E+01,,,1.57E+03,-0.01
-3.22E+00,2.28E+01,,,1.57E+03,-0.01
-2.95E+00,2.32E+01,,,1.58E+03,0.01
-2.73E+00,2.37E+01,,,1.58E+03,0.01
-2.78E+00,2.41E+01,,,1.58E+03,0.00
-3.18E+00,2.45E+01,,,1.59E+03,-0.01
-3.24E+00,2.49E+01,,,1.59E+03,0.00
-3.25E+00,2.54E+01,,,1.59E+03,0.00
